Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Product Name,Category,Product ID,Region,Country,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1000,2024-05-13,2024-05-16,Samantha Williams,CUST210,Small Business,RC Car,Toys,PROD4197,West,Anguilla,Wyoming,Markbury,9,2190.23,15,16755.25,11483.04,5272.21,20,No,0,"Lynch, Robinson and Fowler",samuel16@salazar.net,Credit Card,Cancelled
ORD1001,2025-01-16,2025-01-21,Charles Morgan,CUST114,Consumer,Notebook,Office Supplies,PROD5462,North-East,Saint Martin,Georgia,North Nathan,9,763.84,0,6874.53,6036.74,837.79,45,No,0,Simmons-Brown,newmanelizabeth@thompson.com,Cash,Returned
ORD1002,2026-03-14,2026-03-16,Stephen Mayo,CUST473,Wholesale,Notebook,Office Supplies,PROD2775,East,Malawi,Oregon,East Johnton,1,3392.14,10,3052.92,1998.55,1054.37,33,No,0,Fletcher-Meyer,kwilliams@mayer.com,UPI,Pending
ORD1003,2023-08-14,2023-08-18,Jose Wilson,CUST355,VIP Member,Dining Table,Furniture,PROD6648,International,Sudan,Connecticut,Guerreroview,10,3108.66,15,26423.59,18980.64,7442.95,34,No,0,Koch and Sons,marquezbrian@villanueva.com,Debit Card,Pending
ORD1004,2023-08-20,2023-08-21,Maurice Rhodes,CUST148,Small Business,Puzzle,Toys,PROD2891,South,Hong Kong,Iowa,West Lindsaymouth,9,768.81,5,6573.31,4543.92,2029.39,32,No,0,Miller and Sons,hallalexis@shaw.com,Debit Card,Cancelled
ORD1005,2024-03-12,2024-03-13,John Bauer,CUST448,Corporate,Jacket,Clothing,PROD2574,Central,Saint Lucia,Tennessee,Moorechester,10,3115.21,10,28036.87,21343.61,6693.25,45,No,0,Conley Group,gloverdouglas@trevino.com,Credit Card,Pending
ORD1006,2023-09-01,2023-09-05,Frances Hernandez,CUST700,VIP Member,Doll,Toys,PROD7644,North,Saint Pierre and Miquelon,Hawaii,West Brandon,6,2783.14,15,14194.0,10307.16,3886.84,33,No,0,Nguyen PLC,tiffany65@johnson-rice.com,Credit Card,Delivered
ORD1007,2023-05-30,2023-06-01,Kristine Powers,CUST140,Consumer,Sticky Notes,Office Supplies,PROD6222,Central,Luxembourg,Montana,Codyfurt,10,4263.52,5,40503.49,36382.22,4121.26,25,No,0,Jenkins-Jennings,ryantravis@cline-alvarez.com,Credit Card,Cancelled
ORD1008,2024-11-11,2024-11-12,Holly Kane,CUST799,Small Business,Jacket,Clothing,PROD6782,North,Australia,Illinois,Paulmouth,5,1487.64,5,7066.28,5676.43,1389.85,44,No,0,"Huffman, Rivera and Church",sierra64@gutierrez.org,UPI,Delivered
ORD1009,2023-08-05,2023-08-07,Rebecca Willis,CUST617,Small Business,Sofa,Furniture,PROD9468,North-East,Papua New Guinea,South Dakota,Port Lisa,6,1206.04,0,7236.22,5532.55,1703.67,44,No,0,Rodriguez Group,wgreen@woods-bush.net,Credit Card,Cancelled
ORD1010,2025-04-17,2025-04-21,Debra Guerrero,CUST296,Small Business,Puzzle,Toys,PROD5837,North-East,Macao,Maine,Mooremouth,6,1295.08,10,6993.42,6130.76,862.66,10,No,0,"Jones, Cortez and Mckenzie",grahamabigail@russell.com,Cash,Pending
ORD1011,2025-03-12,2025-03-19,Mark Cooper,CUST778,VIP Member,Pen,Office Supplies,PROD7757,South,Vanuatu,Louisiana,Lake Philip,7,1774.64,15,10559.09,8568.9,1990.19,5,Yes,34,"Winters, Herrera and Davis",sarah70@butler-horne.com,Net Banking,Returned
ORD1012,2024-03-03,2024-03-04,Sarah Ramirez,CUST309,VIP Member,Bookshelf,Furniture,PROD2950,East,Togo,Alaska,Lake Cynthia,9,448.64,20,3230.23,2222.87,1007.36,39,No,0,"Robinson, Kerr and Nicholson",william24@knapp.com,Credit Card,Delivered
ORD1013,2024-03-11,2024-03-17,Heather Patterson,CUST125,Consumer,Mobiles,Electronics,PROD4743,East,Uruguay,Georgia,Port Danielbury,3,2553.65,20,6128.75,4367.7,1761.06,21,No,0,Diaz-Griffith,kimjeffrey@walker.com,Net Banking,Pending
ORD1014,2023-06-02,2023-06-06,Olivia Ramos,CUST688,VIP Member,Notebook,Office Supplies,PROD3645,South,Bahrain,Hawaii,Port Michael,6,4222.72,5,24069.52,14957.7,9111.83,48,No,0,"Lawson, Figueroa and Shaw",williamsbrian@espinoza.com,Net Banking,Delivered
ORD1015,2023-12-11,2023-12-12,Michelle Franklin,CUST537,Wholesale,RC Car,Toys,PROD8204,North-East,Equatorial Guinea,Utah,Harrischester,3,1781.39,15,4542.54,3876.94,665.59,19,No,0,Roberts-Gray,dsmith@english.com,Net Banking,Delivered
ORD1016,2025-11-18,2025-11-23,Marcus Mayer,CUST404,Corporate,Headphones,Electronics,PROD9960,East,Estonia,New Mexico,Port Scott,7,4722.04,0,33054.3,21095.99,11958.31,34,No,0,Martin Group,rittersarah@french.com,Debit Card,Returned
ORD1017,2025-04-22,2025-04-26,Manuel Martin,CUST886,Corporate,Stapler,Office Supplies,PROD7572,East,Saint Martin,Alaska,New Kristin,10,616.33,20,4930.67,4286.91,643.77,33,No,0,Bryan Group,kevinmcgee@payne.com,Credit Card,Delivered
ORD1018,2025-02-28,2025-03-06,Steve Mcgrath,CUST214,Small Business,Doll,Toys,PROD1569,North,Norfolk Island,Utah,Kevinborough,9,4641.06,15,35504.09,22618.07,12886.03,21,No,0,Mason Ltd,mcarpenter@huerta.net,Credit Card,Cancelled
ORD1019,2025-12-16,2025-12-21,Kenneth Cole,CUST944,Wholesale,Projector,Electronics,PROD9927,West,Slovenia,Wisconsin,East Michaelville,3,2722.02,20,6532.86,5160.56,1372.3,20,No,0,Malone Ltd,jeffreystevens@cox.org,Cash,Cancelled
ORD1020,2025-10-26,2025-11-02,Tiffany Howard,CUST730,Home Office,Jeans,Clothing,PROD2743,International,Saint Barthelemy,Arkansas,New Tamara,8,4695.19,10,33805.36,30399.3,3406.06,0,Yes,43,"Guerrero, Anderson and Johnson",ashley12@perez-daniels.com,Debit Card,Cancelled
ORD1021,2023-10-27,2023-11-03,Olivia Castillo,CUST508,Consumer,Board Game,Toys,PROD7554,North,Belarus,Wyoming,Lynnfurt,5,1826.02,5,8673.61,6720.72,1952.89,48,No,0,Williams Group,kevinwells@wright-fisher.com,Cash,Returned
ORD1022,2024-02-06,2024-02-08,Richard Walker,CUST931,Small Business,RC Car,Toys,PROD9432,North,Myanmar,Oklahoma,New Derrickborough,4,3254.77,5,12368.13,7673.47,4694.66,33,No,0,Martinez-Baker,ralphhurley@kirk-elliott.info,Credit Card,Pending
ORD1023,2025-01-03,2025-01-10,Richard Vasquez,CUST837,Home Office,Fruits,Grocery,PROD4266,North,Venezuela,Colorado,Port Clinton,10,4853.33,15,41253.29,29274.03,11979.25,23,No,0,Rodriguez Group,alexandrameyers@melton.net,Cash,Delivered
ORD1024,2024-02-13,2024-02-17,Holly Hatfield,CUST327,Small Business,Eggs,Grocery,PROD8993,North-East,Spain,Oregon,South Stephenstad,8,2539.73,10,18286.08,11999.83,6286.24,21,No,0,Beasley Inc,gallagherjessica@sharp-jackson.com,Credit Card,Cancelled
ORD1025,2023-07-24,2023-07-26,Angelica Robertson,CUST168,Home Office,Shampoo,Beauty,PROD9691,West,Andorra,Washington,East Sarahview,7,4409.23,10,27778.15,24723.06,3055.09,30,No,0,"Brown, Griffin and Anderson",joshua21@braun.com,UPI,Cancelled
ORD1026,2024-11-26,2024-11-28,Jon Bell,CUST114,VIP Member,Doll,Toys,PROD9405,North,Saint Kitts and Nevis,Virginia,West Douglasborough,4,261.62,20,837.17,744.78,92.39,40,No,0,"Ellis, Vasquez and Brown",tammy96@williams.net,UPI,Cancelled
ORD1027,2025-12-12,2025-12-13,Tyler White,CUST971,Small Business,Jeans,Clothing,PROD9697,North,Saint Kitts and Nevis,South Carolina,Welchborough,10,1938.43,20,15507.46,10162.44,5345.02,15,No,0,Alexander Group,gloriaturner@andersen.com,Debit Card,Pending
ORD1028,2025-01-25,2025-02-01,Robin Patterson,CUST700,Home Office,Ink,Office Supplies,PROD5788,International,Tajikistan,Illinois,Lake Williamshire,7,4608.96,15,27423.34,20769.78,6653.56,42,No,0,"Estrada, Blake and Gray",cmelton@mendoza.com,Credit Card,Delivered
ORD1029,2024-09-13,2024-09-15,Katie Moore,CUST607,Consumer,Jacket,Clothing,PROD4350,South,Haiti,Oklahoma,Scottberg,3,661.35,10,1785.64,1202.57,583.07,0,Yes,33,Fox Group,brownlori@proctor.net,Credit Card,Cancelled
ORD1030,2024-08-16,2024-08-23,Natalie Graves,CUST698,Corporate,Shampoo,Beauty,PROD4324,Central,Western Sahara,New York,Cassandrastad,3,1067.24,20,2561.38,2014.41,546.96,47,No,0,"Blackburn, Levy and Martinez",nicolejacobs@anderson.com,Debit Card,Pending
ORD1031,2024-02-28,2024-02-29,Jacqueline Wilson,CUST602,Home Office,Dining Table,Furniture,PROD9156,International,Timor-Leste,Wisconsin,Bonnieside,1,936.61,5,889.78,695.05,194.73,39,No,0,Phillips-Gordon,danderson@cooper.biz,Credit Card,Delivered
ORD1032,2024-09-20,2024-09-22,Jerry Lee MD,CUST952,VIP Member,T-Shirt,Clothing,PROD5764,International,Kyrgyz Republic,Arkansas,Barrbury,10,2018.14,0,20181.37,13716.5,6464.87,13,No,0,Hood-Campbell,andrea30@martin-hernandez.com,UPI,Delivered
ORD1033,2025-03-14,2025-03-18,Brittany Rogers,CUST508,Wholesale,Sneakers,Clothing,PROD4001,Central,Timor-Leste,Arkansas,Valerieview,2,2390.71,5,4542.35,3895.23,647.12,8,Yes,43,Diaz Ltd,walter91@burnett-walls.biz,Debit Card,Cancelled
ORD1034,2024-03-10,2024-03-17,Brittany Wilson,CUST235,VIP Member,Sweater,Clothing,PROD6355,North,Qatar,Rhode Island,Millerhaven,5,1035.14,15,4399.35,3233.27,1166.09,49,No,0,Marshall-Velasquez,wnguyen@gonzalez-ramirez.org,Net Banking,Returned
ORD1035,2025-03-16,2025-03-19,Amy Combs,CUST786,VIP Member,Bookshelf,Furniture,PROD1345,North,Italy,Wisconsin,Sandraborough,1,2533.81,10,2280.42,1458.1,822.32,18,No,0,"Carpenter, Wood and Walker",uwatts@patterson.org,UPI,Returned
ORD1036,2024-04-29,2024-04-30,Alex Frederick,CUST223,VIP Member,Perfume,Beauty,PROD2051,North-East,Lebanon,California,South Mikaylastad,4,4040.41,0,16161.63,13981.35,2180.28,11,No,0,"Anderson, Shaw and Nguyen",kennethlucas@williams.com,Debit Card,Cancelled
ORD1037,2024-07-09,2024-07-11,Amy Stein,CUST350,Consumer,Lipstick,Beauty,PROD5073,South,Slovakia (Slovak Republic),Louisiana,Mariahaven,10,2234.25,10,20108.29,17941.42,2166.87,7,Yes,45,Acevedo-Petty,johncook@morales-pope.org,Debit Card,Cancelled
ORD1038,2023-05-28,2023-05-29,Ashley Robinson,CUST794,VIP Member,Face Wash,Beauty,PROD3930,North-East,Central African Republic,Florida,New Christina,1,4641.85,0,4641.85,3511.49,1130.36,26,No,0,Nguyen-Johnson,westjohn@cox-sellers.net,UPI,Delivered
ORD1039,2026-05-08,2026-05-12,Jeremy Sosa,CUST794,Small Business,Pen,Office Supplies,PROD5799,South,Djibouti,Wyoming,Lake Brian,10,288.08,15,2448.67,1787.16,661.52,28,No,0,York-Reyes,ashley48@jenkins.com,Cash,Cancelled
ORD1040,2026-03-07,2026-03-10,Cody Vega,CUST666,VIP Member,Doll,Toys,PROD1380,East,Bahamas,Kansas,South Gina,4,709.74,15,2413.12,2048.96,364.16,41,No,0,"Garcia, Sullivan and Martin",richardsonstephen@flores.com,Cash,Cancelled
ORD1041,2025-02-28,2025-03-06,Michael Stewart,CUST561,Small Business,Doll,Toys,PROD4138,South,Denmark,Massachusetts,North Deborahfort,7,4252.83,0,29769.79,23820.96,5948.83,20,No,0,Ponce LLC,haydenkimberly@blair.info,Net Banking,Pending
ORD1042,2025-10-03,2025-10-05,Joseph Daniel,CUST251,Consumer,Jacket,Clothing,PROD4404,East,Azerbaijan,Nebraska,South Johnport,6,3843.37,15,19601.19,12702.78,6898.41,8,Yes,22,"Perez, Kennedy and Webb",jonessteven@madden.com,Cash,Pending
ORD1043,2025-03-24,2025-03-29,Rebecca Stout,CUST192,Wholesale,RC Car,Toys,PROD6708,North,Montenegro,Alabama,Antonioland,3,766.21,10,2068.76,1853.46,215.29,11,No,0,"Steele, Winters and Mann",imaddox@thomas-roman.com,Credit Card,Pending
ORD1044,2025-10-17,2025-10-21,Julie Holloway,CUST176,Wholesale,Lipstick,Beauty,PROD1252,South,Seychelles,Alabama,Lake Deanside,8,3080.48,20,19715.05,16446.08,3268.97,21,No,0,"Mckinney, Walton and Hamilton",mckenzieeddie@shields.com,Cash,Pending
ORD1045,2025-12-03,2025-12-07,Cody Garcia,CUST150,Consumer,Bread,Grocery,PROD2259,Central,Papua New Guinea,Maine,Juliestad,2,1233.5,0,2467.01,2040.18,426.83,45,No,0,Whitehead-Moore,bairdrobert@jackson-dillon.info,Debit Card,Pending
ORD1046,2026-02-11,2026-02-14,Darren Holden,CUST516,Wholesale,Projector,Electronics,PROD1461,International,Spain,North Dakota,Teresastad,9,4527.17,15,34632.89,24126.25,10506.63,13,No,0,Mills-Singleton,gcole@mccoy.com,Cash,Cancelled
ORD1047,2023-10-10,2023-10-16,James Parker,CUST439,Wholesale,Eggs,Grocery,PROD6039,North,Iran,Arizona,West Maria,4,3722.27,0,14889.08,13249.77,1639.31,32,No,0,Smith Ltd,sandrabrock@collier-green.com,Net Banking,Returned
ORD1048,2025-03-31,2025-04-03,Bobby Harper,CUST718,Wholesale,Puzzle,Toys,PROD8544,North,Poland,Virginia,North Laurenshire,5,1051.24,15,4467.78,3389.0,1078.78,31,No,0,"Curry, Marquez and Daniel",andrewmartin@jimenez-acosta.org,UPI,Returned
ORD1049,2023-11-16,2023-11-21,Mary Willis,CUST580,Home Office,Jacket,Clothing,PROD6901,International,Martinique,Arkansas,Scottside,5,2981.12,5,14160.33,10091.04,4069.3,0,Yes,24,Hurley and Sons,ccervantes@richardson.com,UPI,Delivered
ORD1050,2026-04-26,2026-04-29,Melissa Nunez,CUST753,Home Office,Mobiles,Electronics,PROD2813,Central,Korea,New Hampshire,Saraburgh,1,1194.84,10,1075.35,761.99,313.36,40,No,0,Ford-Ruiz,michaelbeck@thompson-taylor.com,UPI,Delivered
ORD1051,2026-02-24,2026-02-26,Amanda Rivas,CUST126,Consumer,Perfume,Beauty,PROD2737,International,Netherlands,Utah,Meredithview,8,1154.61,10,8313.17,5977.3,2335.86,24,No,0,"Patterson, Bell and Padilla",colemanbrandi@sandoval.com,Net Banking,Pending
ORD1052,2026-05-18,2026-05-25,Matthew Moore,CUST165,Home Office,Action Figure,Toys,PROD7366,International,Bulgaria,Michigan,Toddmouth,6,3459.01,15,17640.96,13325.56,4315.4,19,No,0,"Hunt, Rivera and Grant",amyhardy@irwin-mayer.info,Credit Card,Delivered
ORD1053,2023-10-21,2023-10-28,Brenda Calderon,CUST584,Consumer,Buds,Electronics,PROD1101,North-East,Sri Lanka,Rhode Island,North Brittanyland,2,2006.48,10,3611.66,2372.07,1239.59,11,No,0,Bonilla Ltd,randall54@brown.com,UPI,Pending
ORD1054,2025-04-29,2025-05-04,Emily Washington,CUST622,Home Office,Lipstick,Beauty,PROD2378,West,San Marino,Arkansas,Nicoletown,4,2103.87,5,7994.71,6652.19,1342.53,10,No,0,Jones-Bell,imejia@nicholson-mclean.com,Credit Card,Pending
ORD1055,2024-05-17,2024-05-23,Matthew Hull,CUST560,VIP Member,Stapler,Office Supplies,PROD4089,North-East,Micronesia,Vermont,New Patrick,5,3602.56,10,16211.53,12389.73,3821.8,16,No,0,Saunders Inc,guerrasamantha@hall-sharp.com,Net Banking,Delivered
ORD1056,2023-10-27,2023-10-31,Robert Jackson,CUST810,Consumer,Pen,Office Supplies,PROD5158,International,United Kingdom,Maryland,Christineside,3,3234.83,0,9704.48,7420.55,2283.93,43,No,0,"Cook, Lopez and Grimes",wilkinsdaniel@roberts.com,Net Banking,Pending
ORD1057,2025-07-11,2025-07-14,Kristin Nguyen,CUST827,Wholesale,Vegetables,Grocery,PROD1531,West,Slovakia (Slovak Republic),Arizona,Jennifershire,5,1372.6,10,6176.7,4067.77,2108.92,47,No,0,Moore-Harris,qmathews@horton-howard.com,Debit Card,Cancelled
ORD1058,2025-01-31,2025-02-05,Mary Ferguson,CUST401,VIP Member,Bookshelf,Furniture,PROD3679,International,Bangladesh,South Carolina,West Meghanberg,3,2056.17,0,6168.52,5072.46,1096.07,43,No,0,"Chapman, Hill and Trevino",williamsricky@ross.com,Debit Card,Returned
ORD1059,2024-04-28,2024-05-01,Dennis Spencer,CUST930,Small Business,Bread,Grocery,PROD3279,East,Seychelles,Florida,Lake Matthewstad,10,3339.85,15,28388.69,23022.58,5366.11,40,No,0,"Lowery, Ortiz and Garcia",swebb@mendez.net,Credit Card,Cancelled
ORD1060,2026-01-04,2026-01-10,John Gates,CUST311,Corporate,Projector,Electronics,PROD8920,East,Peru,Alabama,Lake Samanthafurt,8,4490.41,10,32330.96,24297.2,8033.77,30,No,0,Cunningham and Sons,stevenrodriguez@johnson.net,UPI,Cancelled
ORD1061,2025-12-28,2026-01-02,Brianna Hansen,CUST634,Consumer,Pen,Office Supplies,PROD3572,Central,Serbia,New York,South Amanda,6,4399.14,15,22435.62,15784.97,6650.65,24,No,0,James Inc,daniel37@monroe.org,Cash,Delivered
ORD1062,2024-07-02,2024-07-04,Ashlee Smith,CUST956,Wholesale,Office Chair,Furniture,PROD3050,East,Botswana,Montana,Salasshire,9,3515.11,5,30054.2,19561.21,10492.99,44,No,0,Anderson Group,schneideremma@west-bautista.net,Cash,Cancelled
ORD1063,2024-03-29,2024-04-03,Rebecca Smith,CUST752,Small Business,Headphones,Electronics,PROD9982,South,San Marino,Florida,Laurahaven,9,4015.33,5,34331.08,20987.08,13344.0,9,Yes,30,"King, Price and Arnold",annaphillips@burns.com,UPI,Delivered
ORD1064,2024-08-02,2024-08-06,Sierra Mata,CUST666,Corporate,Fruits,Grocery,PROD7525,East,Gabon,New York,Wellsstad,5,4544.31,15,19313.34,14054.42,5258.92,40,No,0,Smith-Marquez,simmonslucas@oconnor-cabrera.org,Cash,Cancelled
ORD1065,2025-09-26,2025-10-03,Brenda Tate,CUST290,Consumer,Lipstick,Beauty,PROD4186,East,Croatia,Hawaii,Lake Stephanie,4,4661.22,0,18644.88,12622.54,6022.34,29,No,0,Ramirez-Bullock,amandaharris@peters.net,Net Banking,Returned
